date,atom_price,atom_norm,account_value,account_norm,value,value_norm
2025-08-09,4.61,0.6762295081967213,11233,0.3677213713752624,2132950379,0.7161898688036782
2025-08-08,4.46,0.6147540983606556,10272,0.2930109616730156,2062850253,0.647806611097881
2025-08-07,4.31,0.55327868852459,8958,0.19085749825079687,1992797416,0.5794694842060805
2025-08-06,4.22,0.5163934426229506,8819,0.18005130995879653,1950523737,0.5382311576839691
2025-08-05,4.3,0.5491803278688523,8450,0.15136437844981732,1986828101,0.5736463676260606
2025-08-04,4.27,0.5368852459016391,8681,0.1693228640286092,1972312911,0.5594866786917124
2025-08-03,4.1,0.46721311475409816,8510,0.15602892015859443,1893136148,0.48224908587283755
2025-08-02,4.14,0.483606557377049,7721,0.09469019668817538,1910972282,0.4996483833833318
2025-08-01,4.2,0.5081967213114754,12438,0.4614009173598694,1937997875,0.5260120748090931
2025-07-31,4.41,0.5942622950819672,10715,0.3274508279561533,2034225157,0.6198825911521653
2025-07-30,4.6,0.6721311475409834,8700,0.17079996890305527,2121151795,0.7046802516849373
2025-07-29,4.64,0.6885245901639342,10687,0.32527404182539066,2138860718,0.7219554538037055
2025-07-28,4.87,0.7827868852459016,11224,0.3670216901189458,2244125393,0.8246420224104721
2025-07-27,4.76,0.7377049180327867,11054,0.353805488610744,2192712209,0.7744880325168225
2025-07-26,4.7,0.7131147540983607,9389,0.22436445619217912,2164327697,0.7467987042701187
2025-07-25,4.6,0.6721311475409834,7933,0.11117157739252119,2117564491,0.7011808067067494
2025-07-24,4.69,0.709016393442623,8330,0.1420352950322631,2158252306,0.7408721096671863
2025-07-23,5.1,0.8770491803278686,11154,0.3615797247920392,2346170433,0.9241878102157378
2025-07-22,5.18,0.9098360655737703,11042,0.35287258026898854,2382172486,0.9593081132553752
2025-07-21,5.16,0.901639344262295,15617,0.7085438855632434,2372158876,0.9495397531643343
2025-07-20,5.01,0.8401639344262293,15630,0.7095545362668118,2302424152,0.881512948157812
2025-07-19,4.87,0.7827868852459016,9331,0.2198553992070279,2237329324,0.8180124004064635
2025-07-18,4.85,0.7745901639344259,13933,0.5776257482702325,2227406028,0.8083321423758445
2025-07-17,4.75,0.733606557377049,11087,0.3563709865505714,2180758810,0.7628273920740761
2025-07-16,4.66,0.6967213114754098,12058,0.43185881987094765,2138721989,0.7218201225068934
2025-07-15,4.54,0.6475409836065573,9511,0.23384902433335925,2082951561,0.6674156047420237
2025-07-14,4.68,0.704918032786885,12027,0.42944880665474616,2146450971,0.7293598089249959
2025-07-13,4.58,0.6639344262295082,10679,0.32465210293088703,2099898949,0.6839479231153763
2025-07-12,4.64,0.6885245901639342,9511,0.23384902433335925,2126694857,0.7100875549075479
2025-07-11,4.63,0.6844262295081965,17025,0.8180051309958797,2121385932,0.7049086542816667
2025-07-10,4.32,0.5573770491803279,11853,0.4159216356992925,1978688909,0.5657065179308837
2025-07-09,4.13,0.4795081967213114,10092,0.2790173365466843,1891028641,0.48019319521298665
2025-07-08,4.01,0.4303278688524589,10002,0.2720205239835186,1835545050,0.42606848933448294
2025-07-07,4.08,0.4590163934426229,10475,0.30879266112104486,1866895718,0.4566513275036025
2025-07-06,4.01,0.4303278688524589,8086,0.12306615874990282,1834251194,0.4248063220128123
2025-07-05,4.0,0.4262295081967213,6527,0.001865816683510845,1829063785,0.41974596125864805
2025-07-04,4.18,0.49999999999999983,8834,0.18121744538599083,1910731935,0.4994139228797969
2025-07-03,4.18,0.49999999999999983,9727,0.2506413744849569,1909543288,0.4982543878153061
2025-07-02,3.93,0.3975409836065574,9031,0.19653269066314236,1795261624,0.3867716712170603
2025-07-01,4.1,0.46721311475409816,10017,0.2731866594107129,1872290297,0.46191378432103075
2025-06-30,4.22,0.5163934426229506,11409,0.3814040270543419,1926443836,0.5147410133779078
2025-06-29,4.0,0.4262295081967213,9473,0.2308948145844671,1825401084,0.41617296587797953
2025-06-28,3.92,0.3934426229508196,7415,0.07090103397341212,1788293063,0.37997378182808017
2025-06-27,3.9,0.3852459016393442,8865,0.18362745860219234,1778568995,0.37048787237347097
2025-06-26,4.01,0.4303278688524589,7590,0.08450594729067869,1828114949,0.41882036382522064
2025-06-25,4.08,0.4590163934426229,10429,0.3052165124776491,1859398264,0.4493374985809646
2025-06-24,4.08,0.4590163934426229,10062,0.27668506569229573,1858770567,0.4487251749210591
2025-06-23,3.72,0.31147540983606564,8342,0.1429682033740185,1694188231,0.28817373316601713
2025-06-22,3.78,0.3360655737704917,7973,0.11428127186503927,1720930922,0.3142614513307392
2025-06-21,3.93,0.3975409836065574,7130,0.04874446085672083,1788603139,0.3802762635528118
2025-06-20,4.04,0.44262295081967207,7070,0.044079919147943715,1838055706,0.4285176552070037
2025-06-19,4.01,0.4303278688524589,7681,0.0915805022156573,1823865310,0.4146748055291684
2025-06-18,4.03,0.43852459016393447,8172,0.12975200186581667,1832263947,0.42286774598620047
2025-06-17,4.11,0.47131147540983614,8313,0.1407136748814429,1868005251,0.4577336862011045
2025-06-16,4.09,0.46311475409836056,8914,0.18743683433102698,1858286943,0.44825339567454664
2025-06-15,4.09,0.46311475409836056,7185,0.05302029075643318,1857659025,0.4476408564272975
2025-06-14,4.13,0.4795081967213114,6503,0.0,1875179662,0.4647323839823368
2025-06-13,4.13,0.4795081967213114,7256,0.058539998445152765,1874558805,0.4641267327994923
2025-06-12,4.5,0.6311475409836065,7349,0.06577003809375728,2041807144,0.6272788827214986
2025-06-11,4.6,0.6721311475409834,9181,0.20819404493508512,2086484277,0.6708617986708248
2025-06-10,4.44,0.6065573770491804,12170,0.4405659643939983,2013217063,0.5993890202003868
2025-06-09,4.27,0.5368852459016391,10507,0.3112804166990593,1935495475,0.5235709627334459
2025-06-08,4.31,0.55327868852459,8529,0.1575060250330405,1952953680,0.5406015873516619
2025-06-07,4.18,0.49999999999999983,9616,0.24201197232371918,1893422778,0.48252869582897673
2025-06-06,4.09,0.46311475409836056,9581,0.23929098966026588,1852031368,0.4421510300764742
2025-06-05,4.28,0.5409836065573771,10128,0.28181606157195055,1937414134,0.5254426305938795
2025-06-04,4.42,0.5983606557377048,10343,0.2985306693617352,2000113535,0.5866064193234763
2025-06-03,4.47,0.6188524590163933,11785,0.41063515509601184,2022056741,0.6080121998321932
2025-06-02,4.37,0.5778688524590163,12192,0.4422762963538832,1976154233,0.5632339203479821
2025-06-01,4.35,0.5696721311475408,14549,0.6255150431470108,1966433091,0.5537508652307823
2025-05-31,4.3,0.5491803278688523,11806,0.4122677446940838,1943188787,0.5310758527689803
2025-05-30,4.62,0.680327868852459,9363,0.22234315478504238,2087093528,0.6714561281038491
2025-05-29,4.84,0.7704918032786884,10217,0.2887351317733033,2181487834,0.7635385610677767
2025-05-28,4.74,0.7295081967213115,10472,0.308559434035606,2136415771,0.7195703876088456
2025-05-27,4.77,0.7418032786885244,12738,0.48472362590375495,2149937390,0.7327608397440758
2025-05-26,4.79,0.7499999999999999,11334,0.37557334991837055,2158951802,0.7415544738505571
2025-05-25,4.72,0.7213114754098359,10410,0.303739407603203,2127401358,0.7107767525268561
2025-05-24,4.8,0.7540983606557375,8780,0.17701935784809142,2163459008,0.7459512909037976
2025-05-23,5.2,0.9180327868852458,10712,0.32721760087071444,2343582719,0.9216634736213799
2025-05-22,4.99,0.8319672131147541,13240,0.5237502915338568,2248164964,0.8285826576200845
2025-05-21,4.85,0.7745901639344259,11865,0.416854544041048,2184369535,0.7663496844331478
2025-05-20,4.79,0.7499999999999999,10066,0.2769960351395475,2156604674,0.7392648309062277
2025-05-19,4.96,0.8196721311475409,10199,0.2873357692606701,2232391294,0.8131953109471812
2025-05-18,4.72,0.7213114754098359,11173,0.3630568296664853,2123670605,0.7071373718524807
2025-05-17,4.82,0.7622950819672131,8748,0.17453160227007697,2167931130,0.7503138832223587
2025-05-16,4.86,0.7786885245901639,9259,0.21425794915649538,2185184803,0.7671449851683175
2025-05-15,5.09,0.872950819672131,14326,0.6081784964627225,2287837699,0.86728374157247
2025-05-14,5.28,0.9508196721311475,14792,0.6444064370675581,2371622123,0.9490161461351063
2025-05-13,5.22,0.9262295081967211,17023,0.8178496462722538,2344671872,0.9227259514588668
2025-05-12,5.31,0.9631147540983603,15165,0.6734043380237892,2384309093,0.9613923912079856
2025-05-11,5.4,1.0,16646,0.7885407758687709,2423886006,1.0
2025-05-10,4.98,0.8278688524590164,19366,1.0,2234623018,0.8153723763267815
2025-05-09,4.54,0.6475409836065573,16177,0.7520796081784965,2036498731,0.6221004815558887
2025-05-08,4.16,0.4918032786885246,15689,0.7141413356137759,1865400286,0.45519252111233444
2025-05-07,4.11,0.47131147540983614,12259,0.447485034595351,1842361746,0.4327182331490672
